Date,BRK-A,WMT,PG,HD,COST,HON
9/1/2009,101000,49.09,57.919998,26.639999,56.380001,35.417679
10/1/2009,99000,49.68,58,25.09,56.849998,34.216431
11/1/2009,100600,54.549999,62.349998,27.360001,59.91,36.676125
12/1/2009,99200,53.450001,60.630001,28.93,59.169998,37.372086
1/1/2010,114600,53.43,61.549999,28.01,57.43,36.8382
2/1/2010,119800,54.07,63.279999,31.200001,60.970001,38.287319
3/1/2010,121800,55.599998,63.27,32.349998,59.709999,43.159039
4/1/2010,115325,53.639999,62.16,35.23,59.080002,45.256451
5/1/2010,105910,50.560001,61.09,33.860001,58.25,40.775616
6/1/2010,120000,48.07,59.98,28.07,54.830002,37.210014
7/1/2010,117000,51.189999,61.16,28.51,56.709999,40.86142
8/1/2010,118675,50.139999,59.669998,27.82,56.5,37.238613
9/1/2010,124500,53.52,59.970001,31.68,64.489998,41.891056
10/1/2010,119300,54.169998,63.57,30.9,62.77,44.913239
11/1/2010,120200,54.09,61.07,30.209999,67.610001,47.391998
12/1/2010,120450,53.93,64.330002,35.060001,72.209999,50.681126
1/1/2011,122425,56.07,63.130001,36.77,71.839996,53.398228
2/1/2011,131300,51.98,63.049999,37.470001,74.790001,55.209629
3/1/2011,125300,52.049999,61.599998,37.060001,73.32,56.925694
4/1/2011,124750,54.98,64.900002,37.150002,80.889999,58.374817
5/1/2011,118775,55.220001,67,36.279999,82.480003,56.773155
6/1/2011,116105,53.139999,63.57,36.220001,81.239998,56.811291
7/1/2011,111500,52.709999,61.490002,34.93,78.25,50.62392
8/1/2011,109769,53.189999,63.68,33.380001,78.540001,45.580597
9/1/2011,106800,51.900002,63.18,32.869999,82.129997,41.862457
10/1/2011,116950,56.720001,63.990002,35.799999,83.25,49.956562
11/1/2011,118500,58.900002,64.57,39.220001,85.300003,51.624962
12/1/2011,114755,59.759998,66.709999,42.040001,83.32,51.815636
1/1/2012,117925,61.360001,63.040001,44.389999,82.269997,55.333569
2/1/2012,117934,59.080002,67.620003,47.57,86.059998,56.792225
3/1/2012,121900,61.200001,67.209999,50.310001,90.800003,58.203209
4/1/2012,120800,58.91,63.639999,51.790001,88.18,57.831394
5/1/2012,118850,65.82,62.290001,49.34,86.389999,53.064548
6/1/2012,124945,69.720001,61.25,52.990002,95,53.236153
7/1/2012,127445,74.43,64.540001,52.18,96.18,55.343102
8/1/2012,126560,72.599998,67.190002,56.75,97.870003,55.724449
9/1/2012,132700,73.800003,69.360001,60.369999,100.160004,56.963829
10/1/2012,129505,75.019997,69.239998,61.380001,98.43,58.38435
11/1/2012,131916,72.019997,69.830002,65.07,103.919998,58.470154
12/1/2012,134060,68.230003,67.889999,61.849998,98.730003,60.510365
1/1/2013,145875,69.949997,75.160004,66.919998,102.339996,65.057938
2/1/2013,152600,70.779999,76.18,68.5,101.290001,66.831207
3/1/2013,156280,74.830002,77.059998,69.779999,106.110001,71.836395
4/1/2013,159000,77.720001,76.769997,73.349998,108.43,70.110794
5/1/2013,171300,74.839996,76.760002,78.660004,109.629997,74.801376
6/1/2013,168600,74.489998,76.989998,77.470001,110.57,75.640335
7/1/2013,173900,77.940002,80.300003,79.029999,117.419998,79.110603
8/1/2013,167050,72.980003,77.889999,74.489998,111.870003,75.859612
9/1/2013,170410,73.959999,75.589996,75.849998,115.169998,79.167809
10/1/2013,172994,76.75,80.75,77.889999,118,82.685738
11/1/2013,174750,81.010002,84.220001,80.669998,125.43,84.382736
12/1/2013,177900,78.690002,81.410004,82.339996,119.019997,87.109375
1/1/2014,169511,74.68,76.620003,76.849998,112.360001,86.975899
2/1/2014,173708,74.699997,78.660004,82.029999,116.800003,90.036217
3/1/2014,187350,76.43,80.599998,79.129997,111.68,88.434555
4/1/2014,193275,79.709999,82.550003,79.510002,115.68,88.568031
5/1/2014,192000,76.769997,80.790001,80.230003,116.019997,88.806374
6/1/2014,189900,75.07,78.589996,80.959999,115.160004,88.6157
7/1/2014,188124,73.580002,77.32,80.849998,117.540001,87.54792
8/1/2014,205880,75.5,83.110001,93.5,121.080002,90.789383
9/1/2014,206900,76.470001,83.739998,91.739998,125.32,88.777771
10/1/2014,210000,76.269997,87.269997,97.519997,133.369995,91.637878
11/1/2014,223065,87.540001,90.43,99.400002,142.119995,94.450317
12/1/2014,226000,85.879997,91.089996,104.970001,141.75,95.260681
1/1/2015,215865,84.980003,84.290001,104.419998,142.990005,93.201408
2/1/2015,221180,83.93,85.129997,114.75,146.960007,97.98732
3/1/2015,217500,82.25,81.940002,113.610001,151.5,99.445976
4/1/2015,213400,78.050003,79.510002,106.980003,143.050003,96.21405
5/1/2015,214800,74.269997,78.389999,111.419998,142.589996,99.341103
6/1/2015,204850,70.93,78.239998,111.129997,135.059998,97.215088
7/1/2015,214000,71.980003,76.699997,117.029999,145.300003,100.151466
8/1/2015,202531,64.730003,70.669998,116.459999,140.050003,94.640991
9/1/2015,195240,64.839996,71.940002,115.489998,144.570007,90.274559
10/1/2015,204596,57.240002,76.379997,123.639999,158.119995,98.464005
11/1/2015,201360,58.84,74.839996,133.880005,161.419998,99.10276
12/1/2015,197800,61.299999,79.410004,132.25,161.5,98.740479
1/1/2016,194360,66.360001,81.690002,125.760002,151.119995,98.387733
2/1/2016,202555,66.339996,80.290001,124.120003,150.029999,96.624001
3/1/2016,213450,68.489998,82.309998,133.429993,157.580002,106.825058
4/1/2016,219000,66.870003,80.120003,133.889999,148.130005,108.941536
5/1/2016,211695,70.779999,81.040001,132.119995,148.770004,108.522057
6/1/2016,216975,73.019997,84.669998,127.690002,157.039993,110.895943
